row_idx,obstacle_id,c_s1_logit,c_s1_prob,c_s1_pred,c_s2_logit,c_s2_prob,c_s2_pred,c_s3_logit,c_s3_prob,c_s3_pred,c_s4_logit,c_s4_prob,c_s4_pred,c_s5_logit,c_s5_prob,c_s5_pred,c_s6_logit,c_s6_prob,c_s6_pred,c_s9_logit,c_s9_prob,c_s9_pred,c_s10_logit,c_s10_prob,c_s10_pred
0,169,-16.729270935058594,5.427126836821117e-08,0,-25.35577392578125,9.730324185275308e-12,0,-15.67655086517334,1.5551074739050819e-07,0,-20.466228485107422,1.2930934101262892e-09,0,-14.444934844970703,5.328982979335706e-07,0,-19.065540313720703,5.247362544480438e-09,0,-16.998872756958008,4.1446071463724365e-08,0,-20.31348991394043,1.5064801628383861e-09,0
1,724,-15.26945686340332,2.3364638934708637e-07,0,-25.664918899536133,7.1427811582092104e-12,0,-16.140321731567383,9.780190168839908e-08,0,-20.839614868164062,8.901644976688772e-10,0,-13.99549674987793,8.352810141332156e-07,0,-19.495079040527344,3.4150318128922663e-09,0,-17.328426361083984,2.9809868351549085e-08,0,-20.772525787353516,9.51933754045342e-10,0
2,688,-17.17145538330078,3.487640043431384e-08,0,-25.948144912719727,5.381010741156711e-12,0,-17.01218605041504,4.089794103379063e-08,0,-21.970705032348633,2.872394266884015e-10,0,-15.093941688537598,2.784737773708912e-07,0,-20.519317626953125,1.2262346693603376e-09,0,-18.63158416748047,8.098522741306624e-09,0,-21.878629684448242,3.149429328441755e-10,0
3,687,-16.37765884399414,7.713884286886241e-08,0,-25.364620208740234,9.64462624347684e-12,0,-16.216434478759766,9.063416683829928e-08,0,-21.02106475830078,7.424505454878272e-10,0,-14.324065208435059,6.013637516844028e-07,0,-19.66914939880371,2.8694386866590094e-09,0,-17.705692291259766,2.0441632386791753e-08,0,-20.940349578857422,8.048625654843988e-10,0
4,167,-14.154397964477539,7.125621550585493e-07,0,-19.86590576171875,2.356930428604187e-09,0,-13.46330738067627,1.4221953961168765e-06,0,-17.846784591674805,1.7751698777601632e-08,0,-13.721035957336426,1.09908012291271e-06,0,-16.677152633666992,5.717479822919813e-08,0,-15.042089462280273,2.9329419248824706e-07,0,-17.814483642578125,1.8334457507762636e-08,0
5,283,-10.609006881713867,2.4691991711733863e-05,0,-12.55850601196289,3.514864374665194e-06,0,-12.895938873291016,2.5082094907702412e-06,0,-16.39402198791504,7.588688077930783e-08,0,-13.508975982666016,1.3587066405307269e-06,0,-16.024293899536133,1.0983418974319648e-07,0,-15.251720428466797,2.3782739333455538e-07,0,-16.597782135009766,6.189773671394505e-08,0
6,272,-16.58658790588379,6.259453044776819e-08,0,-19.44639778137207,3.5853926494411326e-09,0,-15.425676345825195,1.9985444055237167e-07,0,-20.461397171020508,1.2993558451412923e-09,0,-16.701875686645508,5.577859596428425e-08,0,-19.474695205688477,3.4853573360749124e-09,0,-18.27939796447754,1.1517501619096038e-08,0,-20.550649642944336,1.1884098150005684e-09,0
7,186,-14.57299518585205,4.688440355948842e-07,0,-19.232940673828125,4.438538869777631e-09,0,-13.129477500915527,1.9858184714394156e-06,0,-17.48777961730957,2.541872845540638e-08,0,-13.370515823364258,1.5604794043611037e-06,0,-16.498205184936523,6.837864674480443e-08,0,-15.128678321838379,2.6896663030129275e-07,0,-17.382427215576172,2.8242801874966972e-08,0
8,182,-12.837996482849121,2.6578338747640373e-06,0,-15.465513229370117,1.920493559737224e-07,0,-14.093777656555176,7.570939715151326e-07,0,-18.149580001831055,1.311407160642375e-08,0,-14.675392150878906,4.2321204318795935e-07,0,-17.54627799987793,2.3974431329065737e-08,0,-16.61533546447754,6.08207102459346e-08,0,-18.313804626464844,1.1127963439605537e-08,0
9,535,-2.3679959774017334,0.08564594388008118,0,-3.391533374786377,0.03256111964583397,0,-11.348472595214844,1.1787341463787016e-05,0,-13.563253402709961,1.2869253396274871e-06,0,-11.69386100769043,8.34482125355862e-06,0,-14.156251907348633,7.11242364559439e-07,0,-13.65699577331543,1.171767962659942e-06,0,-13.49039077758789,1.3841945474268869e-06,0
10,181,-12.71419906616211,3.0080993838055292e-06,0,-15.2565336227417,2.3668543747135118e-07,0,-13.92852783203125,8.931344268603425e-07,0,-17.931514739990234,1.6309554595750342e-08,0,-14.59036922454834,4.6076871740297065e-07,0,-17.333654403686523,2.9654428246317366e-08,0,-16.394927978515625,7.581815708590511e-08,0,-18.100963592529297,1.3767382789353633e-08,0
11,301,-7.990151405334473,0.00033866806188598275,0,-10.533732414245605,2.6622359655448236e-05,0,-13.807574272155762,1.0079668300022604e-06,0,-16.423328399658203,7.369516907829166e-08,0,-11.15414047241211,1.4315685803012457e-05,0,-16.904630661010742,4.554200216944082e-08,0,-16.1655216217041,9.536809386645473e-08,0,-17.01624298095703,4.0732356154649096e-08,0
12,172,-12.263806343078613,4.719483968074201e-06,0,-16.360410690307617,7.84808804610293e-08,0,-13.73380184173584,1.0851384786292328e-06,0,-17.71146583557129,2.0323950522538325e-08,0,-14.248034477233887,6.488689336947573e-07,0,-16.938364028930664,4.403134212793702e-08,0,-15.661717414855957,1.5783469109464932e-07,0,-17.83845329284668,1.790021109115969e-08,0
13,173,-14.15034008026123,7.154595209613035e-07,0,-20.219894409179688,1.6542892611326465e-09,0,-12.947123527526855,2.383058244959102e-06,0,-16.949079513549805,4.356204286182219e-08,0,-11.966906547546387,6.350907369778724e-06,0,-15.97316837310791,1.1559554735640631e-07,0,-14.278862953186035,6.291705290095706e-07,0,-16.855234146118164,4.784810769820069e-08,0
14,175,-13.148838996887207,1.9477397472655866e-06,0,-15.647143363952637,1.6015184201023658e-07,0,-13.128414154052734,1.987931227631634e-06,0,-17.03133201599121,4.012236232142641e-08,0,-14.548116683959961,4.806544211533037e-07,0,-16.215457916259766,9.072272177945706e-08,0,-14.913363456726074,3.3358645623593475e-07,0,-17.270648956298828,3.158293182536909e-08,0
15,176,-13.698945045471191,1.1236298860239913e-06,0,-18.028532028198242,1.4801576853074039e-08,0,-14.235115051269531,6.573063728865236e-07,0,-18.50754737854004,9.16799347550068e-09,0,-14.982928276062012,3.1116934451347333e-07,0,-17.57902717590332,2.3202002097377772e-08,0,-16.152141571044922,9.665269828929013e-08,0,-18.629316329956055,8.116909810951256e-09,0
16,178,-9.571285247802734,6.969688547542319e-05,0,-13.537376403808594,1.3206615676608635e-06,0,-12.920736312866211,2.4467774437653134e-06,0,-16.41887855529785,7.40238448315722e-08,0,-13.14041805267334,1.9642106963146944e-06,0,-15.90644359588623,1.235717661529634e-07,0,-14.782505989074707,3.802235823968658e-07,0,-16.494340896606445,6.864338786272128e-08,0
17,188,-17.776723861694336,1.9039999799019824e-08,0,-22.045522689819336,2.6653307338975196e-10,0,-14.681151390075684,4.2078164597114665e-07,0,-19.088449478149414,5.128516722407994e-09,0,-15.850702285766602,1.30655408270286e-07,0,-17.627826690673828,2.2096939389371073e-08,0,-15.841495513916016,1.3186387093355734e-07,0,-19.204591751098633,4.56616700006407e-09,0
18,191,-7.595127582550049,0.0005026430590078235,0,-10.424765586853027,2.968718035845086e-05,0,-11.564303398132324,9.499105544819031e-06,0,-14.357152938842773,5.817916530759248e-07,0,-11.058473587036133,1.5752848412375897e-05,0,-14.463754653930664,5.229629778114031e-07,0,-13.60229206085205,1.2376535778457765e-06,0,-14.55311107635498,4.782598352903733e-07,0
19,221,-12.765681266784668,2.857155095625785e-06,0,-16.015296936035156,1.1082682505048069e-07,0,-11.672951698303223,8.521141353412531e-06,0,-15.492746353149414,1.8688983516312874e-07,0,-12.506780624389648,3.7014558529335773e-06,0,-14.747499465942383,3.937695680633624e-07,0,-13.505748748779297,1.3630984767587506e-06,0,-15.510405540466309,1.8361848219683452e-07,0
20,222,-12.932615280151367,2.41788416133204e-06,0,-16.093229293823242,1.0251779514192094e-07,0,-11.720848083496094,8.122633516904898e-06,0,-15.555481910705566,1.7552540043652698e-07,0,-12.631306648254395,3.2680732147127856e-06,0,-14.798388481140137,3.742324281574838e-07,0,-13.544987678527832,1.3106480309943436e-06,0,-15.574926376342773,1.721453628533709e-07,0
21,295,-7.684327602386475,0.00045976851833984256,0,-9.037993431091309,0.00011879489466082305,0,-13.19217586517334,1.8651337541086832e-06,0,-16.40549087524414,7.502151788685296e-08,0,-13.578459739685059,1.2675038760789903e-06,0,-16.444948196411133,7.211900054926446e-08,0,-15.815884590148926,1.3528466524803662e-07,0,-16.430078506469727,7.319940209526976e-08,0
22,741,-2.139385461807251,0.10532728582620621,0,-12.958244323730469,2.356703816985828e-06,0,-11.36206340789795,1.1628227184701245e-05,0,-13.495758056640625,1.3767851214652183e-06,0,-6.5815887451171875,0.0013837286969646811,0,-13.152633666992188,1.9403628357395064e-06,0,-12.119810104370117,5.450432581710629e-06,0,-13.241146087646484,1.7759982711140765e-06,0
23,169,-16.72900390625,5.428575278187964e-08,0,-25.36161994934082,9.673606533866508e-12,0,-15.680839538574219,1.5484523885334056e-07,0,-20.47145652770996,1.2863508036531357e-09,0,-14.44281005859375,5.340317557056551e-07,0,-19.071258544921875,5.217442478056e-09,0,-17.004541397094727,4.1211791312889545e-08,0,-20.319067001342773,1.49810175376075e-09,0
24,724,-15.26643180847168,2.3435421780959587e-07,0,-25.6630802154541,7.155926459029294e-12,0,-16.14019775390625,9.781402354747115e-08,0,-20.83871078491211,8.909695203840329e-10,0,-13.990669250488281,8.393231496484077e-07,0,-19.49478530883789,3.4160352324619225e-09,0,-17.328933715820312,2.979474622577527e-08,0,-20.77191734313965,9.52512957397289e-10,0
25,688,-17.169099807739258,3.495864930869175e-08,0,-25.947641372680664,5.383720812907056e-12,0,-17.011329650878906,4.093298500151832e-08,0,-21.969526290893555,2.875782112443659e-10,0,-15.087964057922363,2.801433538479614e-07,0,-20.51871109008789,1.2269787408314414e-09,0,-18.631656646728516,8.097935655371202e-09,0,-21.87785530090332,3.151869043538369e-10,0
26,687,-16.375272750854492,7.732311502195444e-08,0,-25.364521026611328,9.64558294347384e-12,0,-16.21578598022461,9.069296424968343e-08,0,-21.02015495300293,7.43126449265219e-10,0,-14.318089485168457,6.049680791875289e-07,0,-19.668813705444336,2.870402138199779e-09,0,-17.705976486206055,2.0435821923570074e-08,0,-20.939807891845703,8.052987165996228e-10,0
27,167,-14.15389633178711,7.129196433197649e-07,0,-19.864328384399414,2.360651008004311e-09,0,-13.462172508239746,1.423810317646712e-06,0,-17.845041275024414,1.7782673111810254e-08,0,-13.7188720703125,1.1014609526682761e-06,0,-16.675804138183594,5.7251941854019606e-08,0,-15.041069984436035,2.935933594017115e-07,0,-17.812973022460938,1.8362174003527798e-08,0
28,283,-10.606327056884766,2.475824840075802e-05,0,-12.55435562133789,3.529482910380466e-06,0,-12.894811630249023,2.511038474040106e-06,0,-16.39225959777832,7.602073992529768e-08,0,-13.506302833557129,1.3623433687826036e-06,0,-16.022884368896484,1.0998910227044689e-07,0,-15.250933647155762,2.380145645020093e-07,0,-16.596038818359375,6.200573920978059e-08,0
29,272,-16.585622787475586,6.265496921287195e-08,0,-19.44277000427246,3.598423337081158e-09,0,-15.423680305480957,2.0025376556986885e-07,0,-20.45866584777832,1.30290978006542e-09,0,-16.699291229248047,5.592293206291288e-08,0,-19.472396850585938,3.4933773651601996e-09,0,-18.277652740478516,1.1537621524837505e-08,0,-20.548137664794922,1.1913988684497667e-09,0
30,186,-14.573232650756836,4.6873276460246416e-07,0,-19.23033332824707,4.450126489530248e-09,0,-13.128043174743652,1.9886686004610965e-06,0,-17.485563278198242,2.54751260087005e-08,0,-13.368659019470215,1.5633796692782198e-06,0,-16.496078491210938,6.852422274050696e-08,0,-15.127128601074219,2.6938374730889336e-07,0,-17.3803653717041,2.830109657736557e-08,0
31,182,-12.837133407592773,2.660128757270286e-06,0,-15.461578369140625,1.928065245238031e-07,0,-14.091836929321289,7.585646812913183e-07,0,-18.146827697753906,1.3150215139035026e-08,0,-14.673223495483398,4.241308033670066e-07,0,-17.543970108032227,2.4029825240745595e-08,0,-16.613492965698242,6.093286941677434e-08,0,-18.311243057250977,1.115650594130102e-08,0
32,535,-2.365577220916748,0.08583555370569229,0,-3.3886682987213135,0.03265148773789406,0,-11.348363876342773,1.1788622032327112e-05,0,-13.562864303588867,1.2874261301476508e-06,0,-11.691519737243652,8.364381756109651e-06,0,-14.156227111816406,7.112599860192859e-07,0,-13.65771770477295,1.1709222462741309e-06,0,-13.489998817443848,1.3847371747033321e-06,0
33,181,-12.71325969696045,3.0109265480859904e-06,0,-15.25256633758545,2.3762629552948056e-07,0,-13.926562309265137,8.948916274675867e-07,0,-17.928730010986328,1.6355034659909506e-08,0,-14.588129043579102,4.618021023361507e-07,0,-17.33131217956543,2.972396373479569e-08,0,-16.393056869506836,7.596014484079205e-08,0,-18.098350524902344,1.380340552969983e-08,0
34,301,-7.991023063659668,0.0003383730654604733,0,-10.533797264099121,2.6620635253493674e-05,0,-13.809341430664062,1.0061871762445662e-06,0,-16.425046920776367,7.35686356279075e-08,0,-11.15450668334961,1.4310442566056736e-05,0,-16.906532287597656,4.545548648593467e-08,0,-16.167560577392578,9.517383858792527e-08,0,-17.018009185791016,4.0660481204213283e-08,0
35,172,-12.26251220703125,4.725596227217466e-06,0,-16.35734748840332,7.872166207789633e-08,0,-13.733293533325195,1.0856902008526959e-06,0,-17.710453033447266,2.0344545603734332e-08,0,-14.245790481567383,6.503266263280238e-07,0,-16.93763542175293,4.406343023788395e-08,0,-15.661696434020996,1.5783801643465267e-07,0,-17.83753204345703,1.791671166984088e-08,0
36,173,-14.149428367614746,7.161121402532444e-07,0,-20.21738624572754,1.6584436046684914e-09,0,-12.945476531982422,2.3869863525760593e-06,0,-16.94655418395996,4.36721947494334e-08,0,-11.963109970092773,6.375064458552515e-06,0,-15.971354484558105,1.1580541325884042e-07,0,-14.277571678161621,6.299833898992802e-07,0,-16.853042602539062,4.795308328198189e-08,0
37,175,-13.14875316619873,1.947907094290713e-06,0,-15.644111633300781,1.6063812324773608e-07,0,-13.12839412689209,1.9879707906511612e-06,0,-17.030838012695312,4.0142186463754115e-08,0,-14.547667503356934,4.808704261449748e-07,0,-16.215288162231445,9.073812634596834e-08,0,-14.913518905639648,3.335346150379337e-07,0,-17.270381927490234,3.159136952035624e-08,0
38,176,-13.695878028869629,1.1270813047303818e-06,0,-18.024169921875,1.4866285980019711e-08,0,-14.234294891357422,6.578456464012561e-07,0,-18.505966186523438,9.182501869986481e-09,0,-14.979940414428711,3.121004681361228e-07,0,-17.57797622680664,2.3226402134923774e-08,0,-16.151884078979492,9.667759570675116e-08,0,-18.627857208251953,8.128761663783735e-09,0
39,178,-9.570117950439453,6.977828888921067e-05,0,-13.535250663757324,1.3234720199761796e-06,0,-12.921277046203613,2.44545481109526e-06,0,-16.419170379638672,7.40022443324051e-08,0,-13.138734817504883,1.967519892787095e-06,0,-15.906970024108887,1.2350675149264134e-07,0,-14.78371810913086,3.797630085955461e-07,0,-16.494647979736328,6.862231316517864e-08,0
40,188,-17.777708053588867,1.902126811614835e-08,0,-22.04524040222168,2.6660831875524593e-10,0,-14.680756568908691,4.209477992844768e-07,0,-19.088001251220703,5.130816216336598e-09,0,-15.848618507385254,1.3092795825286885e-07,0,-17.626996994018555,2.211528027373788e-08,0,-15.8413667678833,1.31880852904942e-07,0,-19.203956604003906,4.56906823487202e-09,0
41,191,-7.5971479415893555,0.00050162902334705,0,-10.425541877746582,2.9664141038665548e-05,0,-11.565888404846191,9.484061592957005e-06,0,-14.358888626098633,5.807826823911455e-07,0,-11.059917449951172,1.573012013977859e-05,0,-14.46566390991211,5.219654894972336e-07,0,-13.604143142700195,1.2353648344287649e-06,0,-14.55475902557373,4.774723834088945e-07,0
42,221,-12.765922546386719,2.8564656986418413e-06,0,-16.012636184692383,1.1112209818975316e-07,0,-11.672161102294922,8.52788161864737e-06,0,-15.491015434265137,1.872136152769599e-07,0,-12.505985260009766,3.704401251525269e-06,0,-14.746028900146484,3.943490867186483e-07,0,-13.504691123962402,1.3645409353557625e-06,0,-15.508919715881348,1.838915153484777e-07,0
43,222,-12.932851791381836,2.417312543911976e-06,0,-16.090574264526367,1.027903451245038e-07,0,-11.720054626464844,8.129080015351065e-06,0,-15.553749084472656,1.7582981115538132e-07,0,-12.630515098571777,3.270661409260356e-06,0,-14.796914100646973,3.7478457670658827e-07,0,-13.543930053710938,1.3120348967277096e-06,0,-15.573439598083496,1.724014992987577e-07,0
44,295,-7.681732177734375,0.00046096276491880417,0,-9.034780502319336,0.00011917713709408417,0,-13.192014694213867,1.8654343421076192e-06,0,-16.405031204223633,7.505600763124676e-08,0,-13.576239585876465,1.270321035917732e-06,0,-16.444904327392578,7.212216956986595e-08,0,-15.81656551361084,1.351925646986274e-07,0,-16.429580688476562,7.323585293761425e-08,0
45,741,0.17635013163089752,0.5439736247062683,1,-7.024404525756836,0.0008891060715541244,0,-8.278777122497559,0.00025378301506862044,0,-9.879300117492676,5.1221493777120486e-05,0,-5.047031402587891,0.006387328263372183,0,-9.902372360229492,5.005328421248123e-05,0,-9.375258445739746,8.478912786813453e-05,0,-9.592534065246582,6.823163130320609e-05,0
46,169,-16.723276138305664,5.4597585119608993e-08,0,-25.378480911254883,9.511866988498596e-12,0,-15.701411247253418,1.5169236178280698e-07,0,-20.488420486450195,1.2647131120147037e-09,0,-14.454826354980469,5.276530146147707e-07,0,-19.093616485595703,5.102085864905348e-09,0,-17.01799774169922,4.0660946609705206e-08,0,-20.335132598876953,1.4742262965938835e-09,0
47,724,-15.284712791442871,2.301089523371047e-07,0,-25.69077491760254,6.960464322969262e-12,0,-16.173480987548828,9.46120408684692e-08,0,-20.872385025024414,8.614665092387952e-10,0,-14.026474952697754,8.098022590274923e-07,0,-19.532615661621094,3.2892191192956943e-09,0,-17.357933044433594,2.8943127006186842e-08,0,-20.805099487304688,9.214252139067014e-10,0
48,688,-17.15019416809082,3.562585249028416e-08,0,-25.95672607421875,5.335032762787684e-12,0,-17.024843215942383,4.038355427837814e-08,0,-21.976903915405273,2.854643743610552e-10,0,-15.088418006896973,2.800162235416792e-07,0,-20.534494400024414,1.207764888100371e-09,0,-18.637699127197266,8.049150679312334e-09,0,-21.883575439453125,3.133891757212126e-10,0
49,687,-16.355426788330078,7.887300057518587e-08,0,-25.367759704589844,9.614394350099253e-12,0,-16.22966766357422,8.944269325183996e-08,0,-21.02719497680664,7.379131750084866e-10,0,-14.31951904296875,6.041038886905881e-07,0,-19.683778762817383,2.827766243385099e-09,0,-17.712984085083008,2.0293116520520016e-08,0,-20.945066452026367,8.010749841247389e-10,0
50,167,-14.171647071838379,7.00376574513939e-07,0,-19.902257919311523,2.2727895121477104e-09,0,-13.483914375305176,1.3931881994722062e-06,0,-17.862911224365234,1.746772149147091e-08,0,-13.725491523742676,1.094193862627435e-06,0,-16.69710922241211,5.604509212275843e-08,0,-15.056075096130371,2.8922079309268156e-07,0,-17.83234214782715,1.8009938429486283e-08,0
51,283,-10.662744522094727,2.3400154532282613e-05,0,-12.593522071838379,3.3939184049813775e-06,0,-12.912698745727539,2.466522801114479e-06,0,-16.415203094482422,7.429641613043714e-08,0,-13.544386863708496,1.3114355397192412e-06,0,-16.045522689819336,1.0752711432360229e-07,0,-15.26585865020752,2.344885814409281e-07,0,-16.619705200195312,6.055551438066686e-08,0
52,272,-16.604907989501953,6.145823050474064e-08,0,-19.458572387695312,3.542006909995621e-09,0,-15.447429656982422,1.9555388064418366e-07,0,-20.480913162231445,1.2742435995249934e-09,0,-16.733707427978516,5.4031016105682284e-08,0,-19.499095916748047,3.4013416527756135e-09,0,-18.294506072998047,1.1344803318991126e-08,0,-20.569135665893555,1.1666427823797676e-09,0
53,186,-14.584391593933105,4.6353122229447763e-07,0,-19.23685646057129,4.4211918570624675e-09,0,-13.144636154174805,1.9559429347282276e-06,0,-17.497833251953125,2.516445718470095e-08,0,-13.391097068786621,1.5286913139789249e-06,0,-16.51082992553711,6.752080849992126e-08,0,-15.132570266723633,2.6792187668434053e-07,0,-17.389232635498047,2.8051250211547085e-08,0
54,182,-12.872238159179688,2.568366198829608e-06,0,-15.504162788391113,1.8476833929526038e-07,0,-14.12454605102539,7.341541277128272e-07,0,-18.182497024536133,1.2689422845824083e-08,0,-14.711995124816895,4.080012843132863e-07,0,-17.5820369720459,2.3132276538717633e-08,0,-16.64146614074707,5.9252013073773924e-08,0,-18.34676170349121,1.0767196023664383e-08,0
55,535,-2.396502733230591,0.08343976736068726,0,-3.4256057739257812,0.031504735350608826,0,-11.373929023742676,1.1491067198221572e-05,0,-13.592511177062988,1.2498182968556648e-06,0,-11.722738265991211,8.107293979264796e-06,0,-14.18557357788086,6.906903422532196e-07,0,-13.680560111999512,1.1444788015069207e-06,0,-13.518906593322754,1.345280679743155e-06,0
56,181,-12.753284454345703,2.89279500975681e-06,0,-15.29747486114502,2.2719090964073985e-07,0,-13.96091079711914,8.646753713037469e-07,0,-17.966426849365234,1.574997732234351e-08,0,-14.631285667419434,4.422961694672267e-07,0,-17.371599197387695,2.855027503301244e-08,0,-16.422908782958984,7.372610610900665e-08,0,-18.13653564453125,1.3286256539402075e-08,0
57,301,-8.040505409240723,0.00032204235321842134,0,-10.562079429626465,2.587831113487482e-05,0,-13.812223434448242,1.0032915724877967e-06,0,-16.43608283996582,7.276120328469915e-08,0,-11.183126449584961,1.3906691492593382e-05,0,-16.911685943603516,4.522182450727996e-08,0,-16.169225692749023,9.501549413926114e-08,0,-17.026535034179688,4.031529243775367e-08,0
58,172,-12.29980182647705,4.552625796350185e-06,0,-16.406295776367188,7.496115017602278e-08,0,-13.771379470825195,1.0451182106407941e-06,0,-17.750551223754883,1.9544904361623594e-08,0,-14.284818649291992,6.25434495304944e-07,0,-16.980974197387695,4.219457139242877e-08,0,-15.694707870483398,1.527126158862302e-07,0,-17.87697410583496,1.722379217028447e-08,0
59,173,-14.15856647491455,7.095980549820524e-07,0,-20.245800018310547,1.611984212779305e-09,0,-12.97079849243164,2.3273021270142635e-06,0,-16.967695236206055,4.2758607321502495e-08,0,-11.975211143493652,6.298384505498689e-06,0,-15.997345924377441,1.1283424328212277e-07,0,-14.295110702514648,6.190305157360854e-07,0,-16.87525177001953,4.68998280211963e-08,0
60,175,-13.220712661743164,1.8126612530977582e-06,0,-15.722429275512695,1.4853735308406613e-07,0,-13.170438766479492,1.906120246530918e-06,0,-17.082996368408203,3.810210102983547e-08,0,-14.599514961242676,4.565738436212996e-07,0,-16.265094757080078,8.632947157138915e-08,0,-14.952166557312012,3.2089016599456954e-07,0,-17.321861267089844,3.000621617843535e-08,0
61,176,-13.730554580688477,1.0886680001931381e-06,0,-18.071062088012695,1.4185264518573604e-08,0,-14.272275924682617,6.33328511412401e-07,0,-18.54558563232422,8.825808528456491e-09,0,-15.018412590026855,3.003213180363673e-07,0,-17.621288299560547,2.2241890107466133e-08,0,-16.184900283813477,9.353778551712821e-08,0,-18.666950225830078,7.817115843522515e-09,0
62,178,-9.61655330657959,6.661238876404241e-05,0,-13.59233570098877,1.2500375987656298e-06,0,-12.958901405334473,2.355155629629735e-06,0,-16.459461212158203,7.107990285248889e-08,0,-13.177054405212402,1.8935515981866047e-06,0,-15.949236869812012,1.1839527758183976e-07,0,-14.815969467163086,3.6771052691619843e-07,0,-16.535301208496094,6.58885426219058e-08,0
63,188,-17.813941955566406,1.83443926715654e-08,0,-22.087013244628906,2.557007661163624e-10,0,-14.714877128601074,4.0682712665329746e-07,0,-19.123811721801758,4.950329479669335e-09,0,-15.891839027404785,1.2538973237496975e-07,0,-17.665607452392578,2.127767473325548e-08,0,-15.869789123535156,1.2818526329283486e-07,0,-19.239408493041992,4.409923537451732e-09,0
64,191,-7.5948405265808105,0.0005027872393839061,0,-10.406719207763672,3.0227771276258864e-05,0,-11.559527397155762,9.544581189402379e-06,0,-14.348097801208496,5.870837185284472e-07,0,-11.060097694396973,1.5727286154287867e-05,0,-14.455323219299316,5.273909664538223e-07,0,-13.593194961547852,1.2489638265833491e-06,0,-14.54102611541748,4.840746896661585e-07,0
65,221,-12.795517921447754,2.773166670522187e-06,0,-16.02019691467285,1.1028510016330983e-07,0,-11.686180114746094,8.409164365730248e-06,0,-15.503335952758789,1.8492117703772237e-07,0,-12.533029556274414,3.605561005315394e-06,0,-14.758857727050781,3.893223663453682e-07,0,-13.509544372558594,1.3579344795289217e-06,0,-15.518186569213867,1.8219527930796175e-07,0
66,222,-12.962872505187988,2.3458217128791148e-06,0,-16.10015106201172,1.0181064880043778e-07,0,-11.735069274902344,8.007938049559016e-06,0,-15.567339897155762,1.7345631420084828e-07,0,-12.657752990722656,3.182778073096415e-06,0,-14.810883522033691,3.695854218221939e-07,0,-13.549920082092285,1.304199145124585e-06,0,-15.584049224853516,1.7058206935871567e-07,0
67,295,-7.703288555145264,0.00045113684609532356,0,-9.064957618713379,0.00011563483712961897,0,-13.217686653137207,1.8181547147833044e-06,0,-16.433809280395508,7.292682369097747e-08,0,-13.605706214904785,1.2334352277321159e-06,0,-16.474634170532227,7.000954838076723e-08,0,-15.839584350585938,1.321161420264616e-07,0,-16.45650863647461,7.129007428829937e-08,0
68,741,0.11722949147224426,0.5292738676071167,1,-7.611005783081055,0.0004947289125993848,0,-8.695405960083008,0.00016732487711124122,0,-10.416808128356934,2.9924349291832186e-05,0,-5.2566819190979,0.005185541696846485,0,-10.42979907989502,2.953813054773491e-05,0,-9.863608360290527,5.2031540690222755e-05,0,-10.118783950805664,4.031349817523733e-05,0
69,169,-16.724029541015625,5.4556469564204235e-08,0,-25.36782455444336,9.613771584371378e-12,0,-15.689748764038086,1.5347181658853515e-07,0,-20.478105545043945,1.2778261782031564e-09,0,-14.447234153747559,5.316743454386597e-07,0,-19.080692291259766,5.16845410913902e-09,0,-17.009765625,4.0997054640001807e-08,0,-20.325336456298828,1.4887387989048761e-09,0
